danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity
0.6997063076088921,0.6596775060907284,0.5572253388758359,124.07764142418218,-7.24953786372673,0.5355141876016626,5.600397614314115,0.27973020466293147,0.030801761843485542,0.18742936923911085,0.3323762877281767,193230.94831013912,33.092535694921374
0.6879148549548963,0.7359731325848529,0.6710905899149848,118.57175060029853,-6.084976896618859,0.6625348822116949,5.64682977480693,0.1773050095457199,0.025305422571874153,0.16818411707443712,0.06978319164124862,207303.50509442535,5.355766110714132
0.5081461133512544,0.33733762321348565,0.375315944780466,113.44805101926522,-11.266919634856631,0.7890344982078836,4.937612007168457,0.7394484170222895,0.04078548710405504,0.15934005376344113,0.04627663530465948,212067.14768145164,31.25414426523298
0.5953856816450876,0.7371692388423456,0.33180889375476014,125.94996667936024,-8.620200495049504,0.5105674028941355,5.5997715156130985,0.10295055499619193,0.7901474171458491,0.16585421744097506,0.06698323495811119,316832.142136329,27.3899466869764
0.4078262226025142,0.8404961495425525,0.3424954439544527,149.41245000987294,-5.184135193839269,0.7674586980846442,5.168893569406963,0.06622711562759154,0.06937759289936189,0.20981684986506946,0.08548542749950636,238649.51207793062,31.392220101362476
0.5140825356718193,0.75243400132283,0.5033983159928657,123.06167806183116,-7.145126634958383,0.6822235434007135,5.294887039239001,0.2970848712083829,0.07224747402348451,0.7693140606420928,0.08120640606420929,241208.5781807372,35.76307966706302
0.6315170985096779,0.7236895059056335,0.5467935439985159,120.42315861727785,-6.417154597736689,9.547918011776346e-15,6.08342093871746,0.19563988922082756,0.02955995631129754,0.17470249211551553,0.0676988188732917,224199.78838661802,48.71275740523158
0.3471775171065495,0.17023110881161874,0.18574367420751287,103.13876539589442,-21.275305124982545,0.6485127775450357,4.835497835497834,0.8639942326839825,0.8070316401941071,0.16081974584555253,0.050546864962993966,213928.64627845274,28.658148303309613
0.6450011340929956,0.6999019819625208,0.6087143543770589,118.05533272128315,-6.612746557217691,1.000000000000007,4.7740454717286775,0.22992198012853055,0.021429386678188223,0.16852558459793715,0.05862864394880381,216204.62753145758,51.05746071177833
0.5598340517241379,0.6965254310344828,0.42950840517241373,99.78490409482754,-11.325650862068965,0.696120689655172,5.063577586206897,0.7777232845905175,0.007770778976295301,0.719928879310344,0.8821325431034486,223673.3243534483,23.539870689655203
